Meanings,English Definition,POS,J Translation
luck,"accidental way things happen, often good things",n,運
lucky,fortunate; having good things happen by chance,adj,運のよい
lunch,light meal eaten in the middle of the day,n,昼食
machine,piece of equipment used to do work,n,機械
mad,Very angry,adj,怒った
main,Most important; most often used,adj,主要な
mainly,mostly; usually; being the largest part,adv,主に
major,"Important, serious, or large in scope",adj,主要な；重要な
make,to create something by putting things together,verb,作る
maker,"person, company, or object that creates things",n,作る人；メーカー
man,An adult male human being,n,男
manage,To run or operate a business by directing others,verb,経営する；管理する
management,people who are in control of a business or group,n,管理；経営
manager,person who controls and runs a business or group,n,経営者；～長；マネージャー
many,Used to refer a large number of things,det,多くの，多数
mark,To make or leave a visible sign on something; a writing symbol,verb,印；記号；評価，印を付ける；成績を付ける
market,public event where people sell goods on tables,n,市場；マーケット
marriage,formal relationship between a husband and a wife,n,結婚
marry,To become the husband or wife of someone,verb,結婚する
master,being very skilled at doing something,adj,"上達な,熟練な"
matter,problem or reason for concern,n,事柄；問題；原因
maybe,Possibly but not certainly; perhaps,adv,もしかすると；たぶん
me,Object form of the person now speaking or writing,pron,私を
meal,"food for eating at a particular time, e.g. dinner",n,食事
meet,To come together at a certain time or place,verb,会合する
member,person or thing belonging to a group or team,n,一員；メンバー
membership,being a member of a group; joining a group,n,会員；メンバーシップ
mention,To refer to or talk or write about something,verb,述べる；話に出す，言及する
mess,state of confusion and disorderliness,n,混乱，散らかす；混乱させる
middle,place that is halfway between two things,n,中心；中間，真ん中の；中央の
might,used to express that something could happen,aux,～かもしれない；～してもよい
mile,unit of distance; 1.6 kilometers,n,マイル
milk,white liquid produced by females to feed babies,n,乳
million,"1,000,000",num,百万
mind,part of humans that allows us to think or feel,n,心；精神
mine,That thing that belongs to me,pron,私のもの
minute,unit of time equal to 60 seconds,n,分；
miss,to be too late to ride on something e.g. train or bus,verb,逃す；～し損なう
mistake,"something done wrong, calculated wrong, etc; error",n,間違い
moment,very short or brief period of time,n,瞬間
money,Coins or notes we use to pay for things,n,お金；金銭；財産
month,one of 12 28-31 day periods in the year,n,月
monthly,Occurring about once every 4 weeks,adv,毎月に
more,"Greater in amount, number, or size",adj,より多くの， もっと
morning,early part of the day before 12 pm,n,朝；午前
most,nearly all of something,pron,最も多くの；たいていの，最も
mostly,In large part; mainly or chiefly,adv,主に；ほとんど
mountain,"very high piece of land, higher than a hill",n,山
mouth,part of the face used for eating and talking,n,口，言う
move,to cause something to change to a different place,verb,動かす；移動する
movement,part of a piece of music,n,楽章
movie,motion picture; film,n,映画
much,a lot; large amount; a high degree of,pron,たくさんの，非常に；だいたい
music,sounds that are sung or played to give pleasure,n,音楽
musical,play or movie set to music,n,ミュージカル
musician,"person who writes, sings, or plays music, as a job",n,音楽家；ミュージシャン
must,(used to say that something is required or necessary),aux,〜しなければならない；〜に違いない
my,Of mine; belonging to me,det,私の
myself,the same person as did the action mentioned,pron,私自身
name,What something or someone is called,n,名前；評判；有名人，名前をつける
nation,area or region controlled by a government and army,n,国家
national,Concerning a nation as a whole,adj,国立；国の
natural,Not made by humans; without human intervention,adj,自然の
naturally,Without the aid of someone or something,adv,自然に
nature,"physical world, including plants, animals, rocks",n,自然
near,With a small distance between things,adj,近い，近くに
nearby,Close to where you are,adj,近くの，近くに
nearly,not completely; almost,adv,ほとんど
necessarily,"In a way that is needed or required, or is unavoidable",adv,必ずしも
necessary,Needed or required; unavoidable,adj,必要な
neck,part of the body joining the head and the body,n,首
need,to be unable to manage without something; require,verb,必要がある
neighbor,"person who lives, or is near, you",n,隣人；近所の人
neighborhood,area of a town or city that people live in,n,近所
never,Not ever; not at any time,adv,決して〜ない；〜したことがない;
newly,Very recently; just done or made,adv,新しく
next,immediately after the previous one,adj,次の
nice,Good or enjoyable,adj,よい；すてきな；親切な；立派な；微細な
night,time when sun does not shine ,n,夜
nine,9,num,9
nineteen,19,num,19
ninety,90,num,90
nobody,no person; no one; not any person,pron,誰も～ない
noise,Loud sounds that cause discomfort or annoyance,n,音；騒音； 雑音
none,Not any of a group,pron,何も～ない；誰も～ない
normal,standard or regular way of doing something,adj,標準の；正常な
normally,In the manner that is usual or ordinary,adv,普通は；正常に
nose,part of the face used for breathing and smelling,n,鼻
not,"(word indicating the negative of verbs, adjectives, etc)",adv,～ではない
note,To make mention of something; to make a remark,verb,注意する；気づく
nothing,"Not anything, not a single thing",pron,何も～ない
notice,"To become aware by sight, touch, or hearing",verb,気づく
